cell,replicate,plasmid,treatment,ctrl_luc,Rluc
WT,1,none,3p-ssRNA,27,32
WT,2,none,3p-ssRNA,21,29
WT,3,none,3p-ssRNA,33,23
WT,4,none,3p-ssRNA,33,21
WT,5,none,3p-ssRNA,32,27
WT,1,no_insert,3p-ssRNA,164,203
WT,2,no_insert,3p-ssRNA,178,209
WT,3,no_insert,3p-ssRNA,151,225
WT,4,no_insert,3p-ssRNA,121,139
WT,5,no_insert,3p-ssRNA,161,142
WT,1,13.1,3p-ssRNA,280,408
WT,2,13.1,3p-ssRNA,240,439
WT,3,13.1,3p-ssRNA,230,408
WT,4,13.1,3p-ssRNA,200,356
WT,5,13.1,3p-ssRNA,255,611
WT,1,13.2,3p-ssRNA,2043,3522
WT,2,13.2,3p-ssRNA,1259,2220
WT,3,13.2,3p-ssRNA,1183,2182
WT,4,13.2,3p-ssRNA,1120,2126
WT,5,13.2,3p-ssRNA,1147,2162
KO,1,none,3p-ssRNA,27,33
KO,2,none,3p-ssRNA,44,32
KO,3,none,3p-ssRNA,32,37
KO,4,none,3p-ssRNA,31,32
KO,5,none,3p-ssRNA,34,36
KO,1,no_insert,3p-ssRNA,87,127
KO,2,no_insert,3p-ssRNA,77,125
KO,3,no_insert,3p-ssRNA,88,159
KO,4,no_insert,3p-ssRNA,97,174
KO,5,no_insert,3p-ssRNA,92,218
KO,1,13.1,3p-ssRNA,156,523
KO,2,13.1,3p-ssRNA,114,306
KO,3,13.1,3p-ssRNA,153,478
KO,4,13.1,3p-ssRNA,198,524
KO,5,13.1,3p-ssRNA,129,458
KO,1,13.2,3p-ssRNA,854,1871
KO,2,13.2,3p-ssRNA,517,1302
KO,3,13.2,3p-ssRNA,449,1204
KO,4,13.2,3p-ssRNA,652,1446
KO,5,13.2,3p-ssRNA,690,1595
WT,1,none,ssRNA,29,31
WT,2,none,ssRNA,31,30
WT,3,none,ssRNA,25,30
WT,4,none,ssRNA,34,33
WT,5,none,ssRNA,30,32
WT,1,no_insert,ssRNA,564,743
WT,2,no_insert,ssRNA,830,1141
WT,3,no_insert,ssRNA,765,903
WT,4,no_insert,ssRNA,863,1099
WT,5,no_insert,ssRNA,772,1131
WT,1,13.1,ssRNA,469,744
WT,2,13.1,ssRNA,377,588
WT,3,13.1,ssRNA,455,647
WT,4,13.1,ssRNA,419,542
WT,5,13.1,ssRNA,402,720
WT,1,13.2,ssRNA,1521,2836
WT,2,13.2,ssRNA,2223,4315
WT,3,13.2,ssRNA,1257,2344
WT,4,13.2,ssRNA,1675,3401
WT,5,13.2,ssRNA,1231,2962
KO,1,none,ssRNA,40,32
KO,2,none,ssRNA,44,36
KO,3,none,ssRNA,37,43
KO,4,none,ssRNA,34,27
KO,5,none,ssRNA,32,40
KO,1,no_insert,ssRNA,265,397
KO,2,no_insert,ssRNA,316,391
KO,3,no_insert,ssRNA,247,469
KO,4,no_insert,ssRNA,394,491
KO,5,no_insert,ssRNA,256,507
KO,1,13.1,ssRNA,246,615
KO,2,13.1,ssRNA,240,592
KO,3,13.1,ssRNA,306,654
KO,4,13.1,ssRNA,234,600
KO,5,13.1,ssRNA,253,673
KO,1,13.2,ssRNA,687,1627
KO,2,13.2,ssRNA,1033,2188
KO,3,13.2,ssRNA,975,2189
KO,4,13.2,ssRNA,1041,2233
KO,5,13.2,ssRNA,794,1915
