cell,replicate,plasmid,treatment,ctrl_luc,Rluc
WT,1,none,3p-ssRNA,175,88
WT,2,none,3p-ssRNA,219,84
WT,3,none,3p-ssRNA,242,82
WT,4,none,3p-ssRNA,301,100
WT,5,none,3p-ssRNA,251,97
WT,1,no_insert,3p-ssRNA,548690,168951
WT,2,no_insert,3p-ssRNA,581979,154374
WT,3,no_insert,3p-ssRNA,503148,150692
WT,4,no_insert,3p-ssRNA,610017,181424
WT,5,no_insert,3p-ssRNA,560509,161919
WT,1,13.1,3p-ssRNA,525369,181090
WT,2,13.1,3p-ssRNA,646680,218832
WT,3,13.1,3p-ssRNA,746616,259588
WT,4,13.1,3p-ssRNA,726220,245556
WT,5,13.1,3p-ssRNA,500298,208533
WT,1,13.2,3p-ssRNA,2445590,1207315
WT,2,13.2,3p-ssRNA,2519935,1237567
WT,3,13.2,3p-ssRNA,2577157,1327207
WT,4,13.2,3p-ssRNA,2619819,1270212
WT,5,13.2,3p-ssRNA,2258014,1357505
KO,1,none,3p-ssRNA,574,280
KO,2,none,3p-ssRNA,753,316
KO,3,none,3p-ssRNA,755,350
KO,4,none,3p-ssRNA,802,337
KO,5,none,3p-ssRNA,740,390
KO,1,no_insert,3p-ssRNA,41767,37444
KO,2,no_insert,3p-ssRNA,33622,33122
KO,3,no_insert,3p-ssRNA,38007,34882
KO,4,no_insert,3p-ssRNA,34527,35346
KO,5,no_insert,3p-ssRNA,28805,35804
KO,1,13.1,3p-ssRNA,150631,175218
KO,2,13.1,3p-ssRNA,155990,183809
KO,3,13.1,3p-ssRNA,179646,219478
KO,4,13.1,3p-ssRNA,167408,222211
KO,5,13.1,3p-ssRNA,128982,168968
KO,1,13.2,3p-ssRNA,384393,480634
KO,2,13.2,3p-ssRNA,388798,545123
KO,3,13.2,3p-ssRNA,464813,609219
KO,4,13.2,3p-ssRNA,419746,618436
KO,5,13.2,3p-ssRNA,305401,489938
WT,1,none,ssRNA,565,166
WT,2,none,ssRNA,665,226
WT,3,none,ssRNA,612,201
WT,4,none,ssRNA,535,185
WT,5,none,ssRNA,469,166
WT,1,no_insert,ssRNA,1457564,334212
WT,2,no_insert,ssRNA,1712355,362617
WT,3,no_insert,ssRNA,1443960,372973
WT,4,no_insert,ssRNA,1475577,404271
WT,5,no_insert,ssRNA,1540596,408911
WT,1,13.1,ssRNA,1162850,423531
WT,2,13.1,ssRNA,1220826,415916
WT,3,13.1,ssRNA,1233747,405212
WT,4,13.1,ssRNA,1426692,455724
WT,5,13.1,ssRNA,996852,329944
WT,1,13.2,ssRNA,3217923,1577298
WT,2,13.2,ssRNA,3184703,1661852
WT,3,13.2,ssRNA,3196193,1531441
WT,4,13.2,ssRNA,3420378,1454333
WT,5,13.2,ssRNA,2645073,1112595
KO,1,none,ssRNA,1198,595
KO,2,none,ssRNA,1118,595
KO,3,none,ssRNA,1041,496
KO,4,none,ssRNA,1010,423
KO,5,none,ssRNA,528,306
KO,1,no_insert,ssRNA,155226,136141
KO,2,no_insert,ssRNA,128218,126878
KO,3,no_insert,ssRNA,154041,141826
KO,4,no_insert,ssRNA,164654,129149
KO,5,no_insert,ssRNA,142944,115822
KO,1,13.1,ssRNA,214711,320321
KO,2,13.1,ssRNA,219903,366971
KO,3,13.1,ssRNA,276771,392087
KO,4,13.1,ssRNA,244375,384093
KO,5,13.1,ssRNA,264871,343587
KO,1,13.2,ssRNA,415031,586158
KO,2,13.2,ssRNA,422993,615555
KO,3,13.2,ssRNA,263610,406251
KO,4,13.2,ssRNA,386403,550217
KO,5,13.2,ssRNA,463238,600903
