Sample Name,Target Name,Ct
WT,GAPDH,17.00575066
WT,GAPDH,17.1615963
WT,GAPDH,16.59547234
KO,GAPDH,16.92352486
KO,GAPDH,17.68867302
KO,GAPDH,16.69071007
WT,TRAILR4,28.44867134
WT,TRAILR4,27.94520187
WT,TRAILR4,28.38624573
KO,TRAILR4,25.74941597
KO,TRAILR4,26.55169296
KO,TRAILR4,26.17234802
WT,ISG15,31.70812607
WT,ISG15,32.4033432
WT,ISG15,31.84081268
KO,ISG15,32.91759109
KO,ISG15,32.85525894
KO,ISG15,32.45191956
WT,RIGI,26.32613564
WT,RIGI,26.80196953
WT,RIGI,26.83150291
KO,RIGI,28.27255058
KO,RIGI,28.92059326
KO,RIGI,29.2808094
WT,TRIM25,23.34019279
WT,TRIM25,23.37868309
WT,TRIM25,23.76145554
KO,TRIM25,24.37388611
KO,TRIM25,24.97507668
KO,TRIM25,24.61129379
