index,RNASEQ.SET.1.KO3P1.RPKM,RNASEQ.SET.1.KO3P2.RPKM,RNASEQ.SET.1.KOSS1.RPKM,RNASEQ.SET.1.KOSS2.RPKM,RNASEQ.SET.1.WT3P1.RPKM,RNASEQ.SET.1.WT3P2.RPKM,RNASEQ.SET.1.WTSS1.RPKM,RNASEQ.SET.1.WTSS2.RPKM,RNASEQ.SET.2.KO3P1.RPKM,RNASEQ.SET.2.KO3P2.RPKM,RNASEQ.SET.2.KOSS1.RPKM,RNASEQ.SET.2.KOSS2.RPKM,RNASEQ.SET.2.WT3P1.RPKM,RNASEQ.SET.2.WT3P2.RPKM,RNASEQ.SET.2.WTSS1.RPKM,RNASEQ.SET.2.WTSS2.RPKM,genename,V1,V2,V3
ENSG00000213177.3,7.949237153,9.198964597,9.751403954,7.585253822,10.13086466,9.408174236,7.828982965,9.43580678,5.558997258,4.986440818,5.222743676,4.932810479,4.169409866,2.920219259,5.525018319,4.751210014,PRDX2P4,0.353592535,0.146945388,-1.342554563
ENSG00000229980.4,1.516149765,1.611374179,1.570980077,1.939569347,1.855875829,1.950466381,1.903136781,1.756315827,0.980254715,1.831858447,0.520781461,1.296224799,1.11348474,0.856090337,1.060525852,1.282318198,TOB1-AS1,1.18189837,0.146964109,-0.095504853
ENSG00000182965.6,7.751373154,9.41170284,5.616375226,8.117208489,4.494427358,10.21534895,9.684916382,11.80806155,9.527392893,11.27358687,11.11405368,11.96178061,12.18293274,10.31855766,11.96236645,9.875494256,NPM1P14,-0.30658345,0.146970184,0.078333557
ENSG00000213239.3,151.0426551,166.3124063,107.4787589,169.5006559,95.86439745,190.6836144,198.3537529,199.0921806,199.3798598,244.8031332,229.0200278,225.8389371,224.5574764,230.0397887,242.1769205,219.3108199,NPM1P32,-2.808337137,0.147013428,0.16647654
ENSG00000091490.6,1.348210808,1.602487961,1.169959335,1.300702576,1.053113891,1.632578439,1.504995437,1.565943525,3.401624464,3.977172037,3.469797826,3.827250743,3.037865523,3.523931567,3.8209234,3.542930894,SEL1L3,0.52166697,0.147103741,-0.338025868
ENSG00000124574.10,2.605538973,2.826761833,2.327277999,2.433389691,3.132890927,3.640370911,3.118380249,3.208894813,4.636811168,4.14949593,3.987602319,4.027780423,4.090712981,4.140258903,3.973050721,4.067595361,ABCC10,0.417144174,0.147167479,-0.080734989
ENSG00000110700.2,434.8901557,416.7082886,512.1091998,424.6671617,408.7897258,309.981811,344.1077539,342.9085296,239.9119416,248.0134213,245.5392629,253.1845086,246.7911166,246.1881095,236.4750807,257.8172607,RPS13,-2.879727481,0.147361763,0.107571388
ENSG00000164778.4,7.891568002,8.101962968,8.658987995,9.271000968,8.789396575,10.93170576,10.51027405,11.55681921,12.43567637,11.27080182,10.94435662,10.84594386,8.874379456,9.547697726,11.65624262,10.99985588,EN2,-0.274725302,0.147361827,-0.767185246
ENSG00000164096.10,16.84942494,16.64276304,16.80794374,16.75226815,26.77702668,26.17181492,26.23097917,25.64319768,12.00561927,19.72245086,11.30284204,18.03293832,16.86648645,22.25868915,15.07572096,15.75550359,C4orf3,-0.626359193,0.147555399,1.230866801
ENSG00000148180.12,5.713041341,6.070709563,5.334331365,5.794532214,5.759082415,5.984669791,5.556348355,5.914545955,3.456527086,3.80292295,3.428982447,3.577058312,3.058067112,2.873641012,3.304704793,3.7249281,GSN,0.558499805,0.147768569,-0.563473486
